Accident_ID,Accident_Date,Accident_Hour,Report_Timestamp,District,Road_Type,Weather_Condition,Surface_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Gender,Alcohol_Involved,Vehicle_Speed_kmph,Helmet_Used,Seatbelt_Used,Cause_Category,Accident_Severity,Casualties_Count,Injury_Type,Emergency_Response_Time_Min,Accident_Year,Accident_Month,Day_Of_Week,Is_Weekend,Time_Block,Age_Group,High_Speed,Delayed_Response,Night_Driving,Multiple_Casualties
Ker_Acc_100000,2023-04-25,0,2023-04-25 02:02:00,Kozhikode,Bridge,Clear,Dry,Night,Medium,Truck,23,Male,No,90,Not Applicable,No,Drunk Driving,Minor,1,No Injury,6.0,2023,April,Tuesday,False,Late Night,Young,Yes,No,Yes,No
Ker_Acc_100031,2024-06-01,19,2024-06-01 21:29:00,Alappuzha,Urban Road,Clear,Dry,Night,Medium,Motorcycle,32,Female,No,58,Yes,Not Applicable,Mechanical Failure,Minor,1,No Injury,13.0,2024,June,Saturday,True,Evening,Adult,No,No,Yes,No
Ker_Acc_100002,2025-04-05,5,2025-04-05 07:37:00,Kannur,Rural Road,Clear,Wet,Night,Low,Car,24,Female,Yes,54,Not Applicable,Yes,Mechanical Failure,Serious,1,Minor Injury,13.0,2025,April,Saturday,True,Late Night,Young,No,No,Yes,No
Ker_Acc_100003,2023-09-28,1,2023-09-28 03:48:00,Malappuram,Junction,Clear,Dry,Night,Medium,Car,53,Female,No,32,Not Applicable,Yes,Weather Conditions,Minor,2,Minor Injury,25.0,2023,September,Thursday,False,Late Night,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100004,2023-07-16,22,2023-07-16 22:20:00,Malappuram,Highway,Fog,Dry,Night,Medium,Car,32,Female,No,112,Not Applicable,Yes,Weather Conditions,Serious,2,Major Injury,22.0,2023,July,Sunday,True,Evening,Adult,Yes,Yes,Yes,Yes
Ker_Acc_100005,2024-01-15,11,2024-01-15 14:09:00,Pathanamthitta,Bridge,Clear,Dry,Day,Low,Bus,56,Male,No,67,Not Applicable,Yes,Drunk Driving,Minor,0,Minor Injury,22.0,2024,January,Monday,False,Morning,Middle Age,No,Yes,No,No
Ker_Acc_100006,2024-01-24,8,2024-01-24 11:47:00,Thrissur,Urban Road,Clear,Dry,Day,High,Motorcycle,32,Male,No,51,Yes,Not Applicable,Distracted Driving,Minor,1,Minor Injury,15.0,2024,January,Wednesday,False,Morning,Adult,No,No,No,No
Ker_Acc_100007,2024-08-03,22,2024-08-03 23:19:00,Alappuzha,Highway,Clear,Dry,Night,Medium,Car,27,Female,No,96,Not Applicable,Yes,Weather Conditions,Minor,0,Minor Injury,12.0,2024,August,Saturday,True,Evening,Adult,Yes,No,Yes,No
Ker_Acc_100008,2024-08-21,13,2024-08-21 16:31:00,Wayanad,Junction,Clear,Wet,Day,Medium,Bus,49,Male,Yes,64,Not Applicable,Yes,Overspeeding,Serious,3,Major Injury,11.0,2024,August,Wednesday,False,Afternoon,Middle Age,No,No,No,Yes
Ker_Acc_100011,2025-02-19,5,2025-02-19 06:04:00,Palakkad,Urban Road,Rain,Wet,Night,Medium,Car,56,Male,No,75,Not Applicable,Yes,Overspeeding,Serious,2,Major Injury,21.0,2025,February,Wednesday,False,Late Night,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100012,2023-11-28,15,2023-11-28 15:34:00,Malappuram,Junction,Rain,Wet,Day,Low,Motorcycle,21,Male,No,38,Yes,Not Applicable,Drunk Driving,Serious,1,Major Injury,19.0,2023,November,Tuesday,False,Afternoon,Young,No,No,No,No
Ker_Acc_100013,2024-05-12,2,2024-05-12 05:09:00,Wayanad,Highway,Rain,Wet,Night,Medium,Motorcycle,28,Male,No,104,Yes,Not Applicable,Mechanical Failure,Serious,1,Minor Injury,37.0,2024,May,Sunday,True,Late Night,Adult,Yes,Yes,Yes,No
Ker_Acc_100014,2025-02-12,23,2025-02-13 00:40:00,Palakkad,Urban Road,Clear,Wet,Night,High,Truck,46,Male,No,71,Not Applicable,No,Weather Conditions,Serious,3,Minor Injury,24.0,2025,February,Wednesday,False,Evening,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100015,2023-12-13,0,2023-12-13 03:03:00,Kollam,Urban Road,Clear,Dry,Night,Low,Auto Rickshaw,63,Male,No,61,Not Applicable,Not Applicable,Mechanical Failure,Minor,2,Minor Injury,12.0,2023,December,Wednesday,False,Late Night,Senior,No,No,Yes,Yes
Ker_Acc_100017,2025-03-14,15,2025-03-14 17:40:00,Alappuzha,Highway,Rain,Wet,Day,Medium,Auto Rickshaw,45,Male,No,95,Not Applicable,Not Applicable,Weather Conditions,Serious,3,Major Injury,37.0,2025,March,Friday,False,Afternoon,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100019,2024-04-18,7,2024-04-18 08:19:00,Kottayam,Rural Road,Rain,Muddy,Day,Medium,Motorcycle,21,Male,No,94,Yes,Not Applicable,Mechanical Failure,Serious,1,Minor Injury,27.0,2024,April,Thursday,False,Morning,Young,Yes,Yes,No,No
Ker_Acc_100020,2025-05-19,7,2025-05-19 08:59:00,Kannur,Urban Road,Rain,Muddy,Day,High,Car,28,Female,No,70,Not Applicable,Yes,Mechanical Failure,Minor,0,Minor Injury,17.0,2025,May,Monday,False,Morning,Adult,No,No,No,No
Ker_Acc_100021,2024-03-09,22,2024-03-10 01:13:00,Kottayam,Highway,Rain,Wet,Night,Medium,Motorcycle,36,Male,No,99,Yes,Not Applicable,Weather Conditions,Serious,3,Minor Injury,11.0,2024,March,Saturday,True,Evening,Adult,Yes,No,Yes,Yes
Ker_Acc_100022,2023-11-18,1,2023-11-18 03:37:00,Wayanad,Junction,Clear,Dry,Night,Medium,Motorcycle,21,Male,No,58,Yes,Not Applicable,Weather Conditions,Minor,0,Minor Injury,7.0,2023,November,Saturday,True,Late Night,Young,No,No,Yes,No
Ker_Acc_100023,2023-03-11,21,2023-03-11 23:00:00,Malappuram,Rural Road,Clear,Dry,Night,Low,Car,55,Female,No,96,Not Applicable,No,Mechanical Failure,Minor,1,Minor Injury,24.0,2023,March,Saturday,True,Evening,Middle Age,Yes,Yes,Yes,No
Ker_Acc_100024,2023-07-29,21,2023-07-29 23:10:00,Kottayam,Rural Road,Clear,Dry,Night,Low,Motorcycle,37,Male,No,89,Yes,Not Applicable,Drunk Driving,Minor,1,Major Injury,39.0,2023,July,Saturday,True,Evening,Adult,Yes,Yes,Yes,No
Ker_Acc_100025,2024-04-14,19,2024-04-14 20:06:00,Thiruvananthapuram,Urban Road,Storm,Dry,Night,Medium,Motorcycle,26,Female,No,64,Yes,Not Applicable,Weather Conditions,Minor,0,Minor Injury,7.0,2024,April,Sunday,True,Evening,Adult,No,No,Yes,No
Ker_Acc_100026,2023-06-11,14,2023-06-11 17:17:00,Kottayam,Junction,Clear,Dry,Day,High,Car,18,Male,No,74,Not Applicable,Yes,Weather Conditions,Minor,0,No Injury,22.0,2023,June,Sunday,True,Afternoon,Young,No,Yes,No,No
Ker_Acc_100027,2023-09-28,3,2023-09-28 04:28:00,Pathanamthitta,Junction,Rain,Wet,Night,Medium,Auto Rickshaw,44,Male,No,56,Not Applicable,Not Applicable,Overspeeding,Serious,1,Minor Injury,20.0,2023,September,Thursday,False,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100028,2024-10-11,8,2024-10-11 10:42:00,Malappuram,Urban Road,Clear,Dry,Day,Medium,Motorcycle,58,Female,No,83,No,Not Applicable,Weather Conditions,Minor,2,Minor Injury,13.0,2024,October,Friday,False,Morning,Middle Age,Yes,No,No,Yes
Ker_Acc_100030,2024-01-14,18,2024-01-14 19:17:00,Kasaragod,Rural Road,Rain,Muddy,Day,Low,Car,68,Male,No,78,Not Applicable,Yes,Mechanical Failure,Serious,3,Major Injury,11.0,2024,January,Sunday,True,Evening,Senior,No,No,Yes,Yes
